ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ProPa-1_tree-1-1,ProPa-1_tree-1,hiwi,47,false,expert,Valenzuela2023,,,
Ksh-1_tree-1-1,Ksh-1_tree-1,i,47,false,expert,Valenzuela2023,,,
SK-1_tree-1-1,SK-1_tree-1,hiwi,47,false,expert,Valenzuela2023,,,
Kap-1_tree-1-1,Kap-1_tree-1,hiwi,47,false,expert,Valenzuela2023,,,
Mar-1_tree-1-1,Mar-1_tree-1,iwi,47,false,expert,Valenzuela2023,,,
Chak-1_tree-1-1,Chak-1_tree-1,hiwi,47,false,expert,Valenzuela2023,,,
Kax-1_tree-1-1,Kax-1_tree-1,hiwi,47,false,expert,Valenzuela2023,,,
Yam-1_tree-1-1,Yam-1_tree-1,iɸi,47,false,expert,Valenzuela2023,,,
Shar-1_tree-1-1,Shar-1_tree-1,iɸi,47,false,expert,Valenzuela2023,,,
ProPa-2_tooth-1-1,ProPa-2_tooth-1,ʂɨ,46,false,expert,Valenzuela2023,,,
Ksh-2_tooth-1-1,Ksh-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
SK-2_tooth-1-1,SK-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
Kap-2_tooth-1-1,Kap-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
Mar-2_tooth-1-1,Mar-2_tooth-1,ʃɨta,46,false,expert,Valenzuela2023,,,
Chak-2_tooth-1-1,Chak-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
Kax-2_tooth-1-1,Kax-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
Shar-2_tooth-1-1,Shar-2_tooth-1,ʂɨta,46,false,expert,Valenzuela2023,,,
ProPa-3_two-1-1,ProPa-3_two-1,ra,48,false,expert,Valenzuela2023,,,
Ksh-3_two-1-1,Ksh-3_two-1,raβɨ,48,false,expert,Valenzuela2023,,,
SK-3_two-1-1,SK-3_two-1,raβɨ,48,false,expert,Valenzuela2023,,,
Kap-3_two-1-1,Kap-3_two-1,raβɨ,48,false,expert,Valenzuela2023,,,
Mar-3_two-1-1,Mar-3_two-1,ravɨvakĩ,48,false,expert,Valenzuela2023,,,
Chak-3_two-1-1,Chak-3_two-1,raβɨ,48,false,expert,Valenzuela2023,,,
Kax-3_two-1-1,Kax-3_two-1,tʃabɨta,48,false,expert,Valenzuela2023,,,
Yam-3_two-1-1,Yam-3_two-1,raɸɨ,48,false,expert,Valenzuela2023,,,
Chan-3_two-1-1,Chan-3_two-1,raɸɨ,48,false,expert,Valenzuela2023,,,
Shar-3_two-1-1,Shar-3_two-1,raɸɨ,48,false,expert,Valenzuela2023,,,
ProPa-4_liver-1-1,ProPa-4_liver-1,takʷa,34,false,expert,Valenzuela2023,,,
Ksh-4_liver-1-1,Ksh-4_liver-1,takʷa,34,false,expert,Valenzuela2023,,,
SK-4_liver-1-1,SK-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Kap-4_liver-1-1,Kap-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Mar-4_liver-1-1,Mar-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Chak-4_liver-1-1,Chak-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Kax-4_liver-1-1,Kax-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Chan-4_liver-1-1,Chan-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
Shar-4_liver-1-1,Shar-4_liver-1,taka,34,false,expert,Valenzuela2023,,,
