ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Shell,ConceptInSource
ProPaTa-1_tree-1,,ProPaTa,1_tree,hegʷi,hegʷi,h e gʷ i,None,Valenzuela2023,45,,,,h e gʷ i ( - - ),47,Tree
ProPa-1_tree-1,,ProPa,1_tree,hiwi,hiwi,h i w i,None,Valenzuela2023,45,,,,h i w i ( - - ),47,Tree
Ksh-1_tree-1,,Ksh,1_tree,i,i,i,None,Valenzuela2023,45,,,,- i - - ( - - ),47,Tree
SK-1_tree-1,,SK,1_tree,hiwi,hiwi,h i w i,None,Valenzuela2023,45,,,,h i w i ( - - ),47,Tree
Kap-1_tree-1,,Kap,1_tree,hiwi,hiwi,h i w i,None,Valenzuela2023,45,,,,h i w i ( - - ),47,Tree
Mar-1_tree-1,,Mar,1_tree,iwi,iwi,i w i,None,Valenzuela2023,45,,,,- i w i ( - - ),47,Tree
Chak-1_tree-1,,Chak,1_tree,hiwi,hiwi,h i w i,None,Valenzuela2023,45,,,,h i w i ( - - ),47,Tree
Kax-1_tree-1,,Kax,1_tree,hiwi,hiwi,h i w i,None,Valenzuela2023,45,,,,h i w i ( - - ),47,Tree
Yam-1_tree-1,,Yam,1_tree,iɸi,iɸi,i ɸ i,None,Valenzuela2023,45,,,,- i ɸ i ( - - ),47,Tree
Shar-1_tree-1,,Shar,1_tree,iɸi,iɸi,i ɸ i,None,Valenzuela2023,45,,,,- i ɸ i ( - - ),47,Tree
ProPaTa-2_tooth-1,,ProPaTa,2_tooth,ʂɨ-,ʂɨ-,ʂ ɨ,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - - - ),96,Tooth
ProPa-2_tooth-1,,ProPa,2_tooth,ʂɨ-,ʂɨ-,ʂ ɨ,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - - - ),96,Tooth
Ksh-2_tooth-1,,Ksh,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
SK-2_tooth-1,,SK,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
Kap-2_tooth-1,,Kap,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
Mar-2_tooth-1,,Mar,2_tooth,ʃɨta,ʃɨta,ʃ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʃ ɨ ( - t a ),96,Tooth
Chak-2_tooth-1,,Chak,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
Kax-2_tooth-1,,Kax,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
Shar-2_tooth-1,,Shar,2_tooth,ʂɨta,ʂɨta,ʂ ɨ t a,None,Valenzuela2023,44,,,,( - - ) ʂ ɨ ( - t a ),96,Tooth
ProPaTa-3_two-1,,ProPaTa,3_two,bɨta,bɨta,b ɨ t a,None,Valenzuela2023,46,,,,( - - - ) b ɨ t a ( - - - - ),24,Two
ProPa-3_two-1,,ProPa,3_two,ra-βɨta,ra-βɨta,r a + β ɨ t a,None,Valenzuela2023,46,,,,( r a + ) β ɨ t a ( - - - - ),24,Two
Ksh-3_two-1,,Ksh,3_two,raβɨ,raβɨ,r a β ɨ,None,Valenzuela2023,46,,,,( r a - ) β ɨ - - ( - - - - ),24,Two
SK-3_two-1,,SK,3_two,raβɨ,raβɨ,r a β ɨ,None,Valenzuela2023,46,,,,( r a - ) β ɨ - - ( - - - - ),24,Two
Kap-3_two-1,,Kap,3_two,raβɨ,raβɨ,r a β ɨ,None,Valenzuela2023,46,,,,( r a - ) β ɨ - - ( - - - - ),24,Two
Mar-3_two-1,,Mar,3_two,ravɨvakĩ,ravɨvakĩ,r a β ɨ β a k ĩ,None,Valenzuela2023,46,,,,( r a - ) β ɨ - - ( β a k ĩ ),24,Two
Chak-3_two-1,,Chak,3_two,raβɨ,raβɨ,r a β ɨ,None,Valenzuela2023,46,,,,( r a - ) β ɨ - - ( - - - - ),24,Two
Kax-3_two-1,,Kax,3_two,tʃabɨta,tʃabɨta,tʃ a b ɨ t a,None,Valenzuela2023,46,,,,( tʃ a - ) b ɨ t a ( - - - - ),24,Two
