ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource,SubGroup
ProPa,Proto-Pano,,,,,,,,proto-Pano,Panoan
ProTa,Proto-Takana,,,,,,,,proto-Takana,Tacanan
Ksh,Kakataibo,cash1251,Cashibo-Cacataibo,cbr,South America,-8.70232,-75.4206,Pano-Tacanan,Kakataibo,Panoan
SK,ShipiboKonibo,ship1254,Shipibo-Conibo,shp,South America,-7.17105,-74.8219,Pano-Tacanan,Shipibo-Konibo,Panoan
Kap,Kapanawa,capa1241,Capanahua,kaq,South America,-6.63254,-74.3813,Pano-Tacanan,Kapanawa,Panoan
Mar,Marubo,maru1252,Marúbo,mzr,South America,-6.60703,-72.4027,Pano-Tacanan,Marubo,Panoan
Chak,Chacobo,chac1251,Chácobo,cao,South America,-12.133,-66.7164,Pano-Tacanan,Chacobo,Panoan
Kax,Kaxarari,kaxa1239,Kaxararí,ktx,South America,-9.47288,-66.3329,Pano-Tacanan,Kaxarari,Panoan
Yam,Yaminawa,yami1256,Yaminahua,yaa,South America,-9.8846,-71.5964,Pano-Tacanan,Yaminawa,Panoan
Chan,Chaninawa,shan1283,Shanenawa,swo,South America,-8.00919,-73.3264,Pano-Tacanan,Chaninawa,Panoan
Shar,Sharanawa,shar1245,Sharanahua,mcd,South America,-9.8626,-71.1232,Pano-Tacanan,Sharanawa,Panoan
Shan,Shanenawa,shan1283,Shanenawa,swo,South America,-8.00919,-73.3264,Pano-Tacanan,Shanenawa,Panoan
Kat,Katukina,pano1254,Panoan Katukína,knt,South America,-7.97456,-71.56151,Pano-Tacanan,Katukina,Panoan
Poy,Poyanawa,poya1241,Poyanáwa,pyn,South America,-7.46909,-73.0758,Pano-Tacanan,Poyanawa,Panoan
Ama,Amawaka,amah1246,Amahuaca,amc,South America,-10.2012,-72.3208,Pano-Tacanan,Amahuaca,Panoan
HanKax,Kaxinawa,cash1254,Cashinahua,cbs,South America,-9.72027,-71.1733,Pano-Tacanan,Hantxakuin/Kaxinawa,Panoan
Maw,Marinawa,mari1443,Marinahua,,South America,,,Pano-Tacanan,Marinawa,Panoan
Yaw,Yawanawa,yawa1260,Yawanawa,ywn,South America,-8.87563,-71.8199,Pano-Tacanan,Yawanawa,Panoan
Kor,Korubo,koru1247,Korubo,xor,South America,-5.3655,-70.5094,Pano-Tacanan,Korubo,Panoan
Mat,Matis,mati1255,Matís,mpq,South America,-4.3553,-70.2079,Pano-Tacanan,Matis,Panoan
MatMay,Matses,mats1244,Matsés,mcf,South America,-5.73914,-72.6281,Pano-Tacanan,Matsés/Mayoruna,Panoan
ReyMar,Reyesano,reye1240,Reyesano,rey,South America,-14.8333,-67.0833,Pano-Tacanan,Reyesano/Maropa,Tacanan
Aro,Araona,arao1248,Araona,aro,South America,-12.4242,-67.7293,Pano-Tacanan,Araona,Tacanan
Tac,Tacanan,taca1256,Tacana,tna,South America,-13.39249,-68.04056,Pano-Tacanan,Tacana,Tacanan
Mab,Mabenaro,mabe1235,Mabenaro,,South America,-11.543809,-68.277741,Pano-Tacanan,Mabenaro,Tacanan
Cav,Cavinena,cavi1250,Cavineña,cav,South America,-13.3544,-66.6277,Pano-Tacanan,Cavineña,Tacanan
Ese,EseEjja,esee1248,Ese Ejja,ese,South America,-11.7268,-67.515,Pano-Tacanan,Ese' Ejja,Tacanan
War,Warayo,guar1292,Guarayu,gyr,South America,-15.8247,-61.6934,Tupian,Warayo,Tacanan
Tia,Tiatinawa,,,,,,,,Tiatinawa,Tacanan
Cham,Chama,cham1314,Chama subgroup,,,,,Pano-Tacanan,Chama,Tacanan
Ara,Arasa,araz1236,Arazaire,,South America,-13.25,-70.8,Pano-Tacanan,Arasa,Tacanan
Sap,Sapibokona,reye1240,Reyesano,rey,South America,-14.8333,-67.0833,Pano-Tacanan,Sapibokona,Tacanan
ProPaTa,Proto-Pano-Takana,pano1259,Pano-Tacanan,,,,,Pano-Tacanan,Proto-Pano-Takana,
