ID,Name,Concepticon_ID,Concepticon_Gloss,Table
1_tree,Tree,906,TREE,lexical
2_tooth,Tooth,1380,TOOTH,lexical
3_two,Two,1498,TWO,lexical
4_liver,Liver,1224,LIVER,lexical
5_leaftofan,"Leaf, to fan",,,lexical
6_bone,Bone,1394,BONE,lexical
7_tongue,Tongue,1205,TONGUE,lexical
8_hand,Hand,1277,HAND,lexical
9_night,Night,,,lexical
10_skin,Skin,763,SKIN,lexical
11_fire,Fire,221,FIRE,lexical
12_knee,Knee,1371,KNEE,lexical
13_blood,Blood,946,BLOOD,lexical
14_breast,Breast,1402,BREAST,lexical
15_moonsun,"Moon, Sun",,,lexical
16_you,You,1215,THOU,lexical
17_come,Come,1446,COME,lexical
18_i,I,1209,I,lexical
19_flesh,Flesh,2259,FLESH,bodyparts
20_fat,Fat,323,FAT (ORGANIC SUBSTANCE),bodyparts
21_fingernail,Fingernail,1258,FINGERNAIL,bodyparts
22_footleg,"Foot,leg",2098,FOOT OR LEG,bodyparts
23_lipedge,"Lip,edge",,,bodyparts
24_cheek,Cheek,1730,CHEEK,bodyparts
25_mouth,Mouth,674,MOUTH,bodyparts
26_elbow,Elbow,981,ELBOW,bodyparts
27_1stsgi,1st SG 'I',,,morphological
28_2ndsgyou,2nd SG 'you',,,morphological
29_demonstrative,DEMONSTRATIVE,,,morphological
30_demonstrativeproximate,DEMONSTRATIVE proximate,,,morphological
31_genitive,GENITIVE,,,morphological
32_imperative,IMPERATIVE,,,morphological
33_goingdowndownward,"GOING DOWN,DOWNWARD",,,morphological
34_docoming,DO COMING,,,morphological
35_desiderative,DESIDERATIVE,,,morphological
36_negative,NEGATIVE,1240,NOT,morphological
37_causative,CAUSATIVE,,,morphological
38_augmentative,AUGMENTATIVE,,,morphological
39_dotrauxiliarytr,"DO (TR.),AUXILIARY (TR.)",,,morphological
40_transitivizer,TRANSITIVIZER,,,morphological
41_detransitivizerreflexive,"DETRANSITIVIZER,REFLEXIVE",,,morphological
42_ergative,ERGATIVE,,,morphological
43_previouseventsamesubject,"PREVIOUS EVENT, SAME-SUBJECT",,,morphological
44_comitativealongwith,"COMITATIVE,ALONG WITH",,,morphological
