ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SUBGROUP	CONCEPTINSOURCE	SHELL
598	Proto-Pano-Takana	1st SG 'I'	ʔɨ	ʔɨ	ʔ ɨ		1		1st SG 'I'	11
599	Proto-Pano	1st SG 'I'	ʔɨ	ʔɨ	ʔ ɨ		1	Panoan	1st SG 'I'	11
600	Kakataibo	1st SG 'I'	ʔɨ	ʔɨ	ʔ ɨ		1	Panoan	1st SG 'I'	11
601	ShipiboKonibo	1st SG 'I'	ʔɨ	ʔɨ	ʔ ɨ		1	Panoan	1st SG 'I'	11
602	Kapanawa	1st SG 'I'	ʔɨ	ʔɨ	ʔ ɨ		1	Panoan	1st SG 'I'	11
603	Chacobo	1st SG 'I'	ɨ	ɨ	ɨ		1	Panoan	1st SG 'I'	11
604	Yaminawa	1st SG 'I'	ɨ̃	ɨ̃	ɨ̃		1	Panoan	1st SG 'I'	11
719	Amawaka	1st SG 'I'	ɨ	ɨ	ɨ		1	Panoan	1st SG 'I'	11
720	Kaxinawa	1st SG 'I'	ɨ	ɨ	ɨ		1	Panoan	1st SG 'I'	11
721	Marinawa	1st SG 'I'	ɨ	ɨ	ɨ		1	Panoan	1st SG 'I'	11
774	Proto-Takana	1st SG 'I'	e	e	e		1	Tacanan	1st SG 'I'	11
775	Tacanan	1st SG 'I'	e-ma	e-ma	e + m a		1	Tacanan	1st SG 'I'	11
776	Reyesano	1st SG 'I'	e-me/éme	e-me	e + m e		1	Panoan	1st SG 'I'	11
777	Araona	1st SG 'I'	ema,yama	ema	e m a		1	Tacanan	1st SG 'I'	11
778	Cavinena	1st SG 'I'	e-ra	e-ra	e + r a		1	Tacanan	1st SG 'I'	11
779	EseEjja	1st SG 'I'	ea,eyaya	ea	e a		1	Tacanan	1st SG 'I'	11
605	Proto-Pano-Takana	2nd SG 'you'	mi	mi	m i		2		2nd SG 'you'	72
606	Proto-Pano	2nd SG 'you'	mi	mi	m i		2	Panoan	2nd SG 'you'	72
607	Kakataibo	2nd SG 'you'	mii	mii	m i i		2	Panoan	2nd SG 'you'	72
608	ShipiboKonibo	2nd SG 'you'	mia	mia	m i a		2	Panoan	2nd SG 'you'	72
609	Kapanawa	2nd SG 'you'	mia	mia	m i a		2	Panoan	2nd SG 'you'	72
