ID	Name	NameInSource	Glottocode	SubGroup
ProPa	Proto-Pano	proto-Pano		Panoan
ProTa	Proto-Takana	proto-Takana		Tacanan
Ksh	Kakataibo	Kakataibo	cash1251	Panoan
SK	ShipiboKonibo	Shipibo-Konibo	ship1254	Panoan
Kap	Kapanawa	Kapanawa	capa1241	Panoan
Mar	Marubo	Marubo	maru1252	Panoan
Chak	Chacobo	Chacobo	chac1251	Panoan
Kax	Kaxarari	Kaxarari	kaxa1239	Panoan
Yam	Yaminawa	Yaminawa	yami1256	Panoan
Chan	Chaninawa	Chaninawa	shan1283	Panoan
Shar	Sharanawa	Sharanawa	shar1245	Panoan
Shan	Shanenawa	Shanenawa	shan1283	Panoan
Kat	Katukina	Katukina	pano1254	Panoan
Poy	Poyanawa	Poyanawa	poya1241	Panoan
Ama	Amawaka	Amahuaca	amah1246	Panoan
HanKax	Kaxinawa	Hantxakuin/Kaxinawa	cash1254	Panoan
Maw	Marinawa	Marinawa	mari1443	Panoan
Yaw	Yawanawa	Yawanawa	yawa1260	Panoan
Kor	Korubo	Korubo	koru1247	Panoan
Mat	Matis	Matis	mati1255	Panoan
MatMay	Matses	Matsés/Mayoruna	mats1244	Panoan
ReyMar	Reyesano	Reyesano/Maropa	reye1240	Panoan
Aro	Araona	Araona	arao1248	Tacanan
Tac	Tacanan	Tacana	taca1256	Tacanan
Mab	Mabenaro	Mabenaro	mabe1235	Tacanan
Cav	Cavinena	Cavineña	cavi1250	Tacanan
Ese	EseEjja	Ese' Ejja	esee1248	Tacanan
War	Warayo	Warayo	guar1292	Tacanan
Tia	Tiatinawa	Tiatinawa		Tacanan
Cham	Chama	Chama	cham1314	Tacanan
Ara	Arasa	Arasa	araz1236	Tacanan
Sap	Sapibokona	Sapibokona	reye1240	Tacanan
ProPaTa	Proto-Pano-Takana	proto-Pano-Takana	pano1259
