Grapheme	IPA	Languages
h	h	Proto-Panoan,ShipiboKonibo,Kapanawa,Chakobo,Kaxarari,
i	i	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Sharanawa
w	w	Proto-Panoan,ShipiboKonibo,Kapanawa,Chakobo,Kaxarari,Sharanawa
ʂ	ʂ	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
ɨ/ɨ́	ɨ/ɨ́	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
r	r	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Yaminawa,Chaninawa,Sharanawa
a/á	a/á	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
β	β	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Chakobo,Kaxarari
t	t	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
kʷ	kʷ	Proto-Panoan,Kakataibo
p	p	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
ʔ	ʔ	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Chakobo,Kaxarari
o	o	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Yaminawa,Chaninawa,Sharanawa
n	n	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
m	m	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
y	j	Proto-Panoan,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
ts	ts	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa	
tʃ	tʃ	Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
v	v	Marubo
b	b	Kakataibo,ShipiboKonibo,Marubo,Chakobo,Kaxarari,Chaninawa
ã	ã	Proto-Panoan,Kakataibo,ShipiboKonibo,Kaxarari,Yaminawa
ɨ̃	ɨ̃	Proto-Panoan,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa
s	s	Proto-Panoan,Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
u	u	Proto-Panoan,Kakataibo,Kaxarari,Sharanawa
ĩ	ĩ	Marubo,Yaminawa
ɔ	ɔ	Kakataibo
ɸ	ɸ	Yaminawa,Chaninawa,Sharanawa
ʃ	ʃ	Marubo,Chaninawa
hʷ	hʷ	Kaxarari
d	d	Chaninawa
ɾ	ɾ	Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Chaninawa,Sharanawa
l	l	Kaxarari
ñ	ɲ	Yaminawa
k	k	Kakataibo,ShipiboKonibo,Kapanawa,Marubo,Chakobo,Kaxarari,Yaminawa,Chaninawa,Sharanawa
õ	õ	ShipiboKonibo,Yaminawa
x	x	Kakataibo,Kaxarari
ṣ̌		Yaminawa
f	f	Yaminawa
e	e	ShipiboKonibo
